T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
1668, -38, 975, 261, 181440, 25970, -98490
1688, -112, 824, 90, 138460, -2660, -85890
1708, -159, 882, 0, 115920, -22960, -80220
1728, -217, 972, -10, 107240, -27440, -91070
1748, -243, 975, -34, 106400, -15680, -113540
1768, -220, 965, -22, 114030, -8330, -121520
1788, -231, 893, -28, 107170, -11760, -110880
1808, -250, 891, -34, 87220, -19460, -81900
1828, -228, 1019, 80, 61600, -36050, -45710
1848, -228, 953, 86, 46690, -46970, -25340
1868, -274, 919, -19, 55720, -48930, -36750
1888, -334, 879, -124, 61670, -68040, -41930
1908, -415, 857, -192, 56560, -85120, -33950
1928, -480, 844, -229, 43190, -96180, -22120
1948, -437, 870, -177, 34930, -96530, -14490
1968, -475, 806, -255, 35280, -84490, -23170
1988, -561, 859, -274, 38990, -73430, -36610
2008, -592, 829, -338, 22120, -82880, -31430
2028, -497, 874, -297, 13860, -77560, -19950
2048, -469, 794, -312, 5530, -72940, 1120
2068, -514, 763, -325, 8190, -53340, -5040
2088, -527, 757, -375, -14000, -51240, -5460
2108, -539, 774, -345, -25900, -42700, -910
2128, -388, 888, -217, -35560, -32480, -2870
2148, -433, 847, -142, -41860, -20580, -10150
2168, -416, 918, -125, -36680, -18830, -19390
2188, -447, 1000, -63, -42350, -22330, -10920
2208, -456, 923, -64, -38290, -11410, -11900
2228, -354, 987, 33, -34440, -17010, -9800
2248, -431, 928, 16, -31640, -17780, -14770
2268, -512, 894, -43, -28630, -27860, -20790
2288, -516, 857, -56, -28700, -31080, -18410
2308, -503, 849, -71, -34230, -29120, -12390
2328, -491, 802, -59, -45360, -31290, -6440
2348, -543, 809, -21, -53060, -22050, -11830
2368, -443, 994, 138, -59570, -14140, -12390
2388, -472, 975, 184, -55370, -4340, -19180
2408, -436, 954, 168, -40530, 910, -33810
2428, -521, 882, 93, -34300, -5110, -35350
2448, -578, 820, 26, -34930, -8260, -35210
2468, -610, 726, -15, -40250, -6510, -41090
2488, -616, 665, -7, -48650, 6300, -49000
2508, -611, 637, -24, -58450, 20090, -52220
2528, -638, 675, 21, -66220, 24080, -34580
2548, -713, 738, 117, -82810, 34090, -8890
2568, -618, 874, 323, -91350, 50120, 12390
2588, -469, 931, 387, -56000, 41790, 28140
2608, -480, 872, 267, -14490, 54460, -42000
2628, -562, 808, 202, -8400, 70000, -90580
2648, -608, 728, 185, -5950, 72870, -81200
2668, -727, 744, 220, -5040, 76930, -72380
2688, -654, 772, 205, -3080, 66780, -61390
2708, -705, 775, 202, -11550, 54460, -69860
2728, -763, 665, 152, -13580, 62230, -82250
2748, -820, 803, 192, -20090, 68040, -79870
2768, -725, 779, 235, -24080, 73570, -98980
2788, -667, 730, 224, -16730, 62160, -110670
2808, -712, 773, 154, -12460, 45360, -103250
2828, -787, 537, 111, -8120, 42560, -71260
2848, -878, 825, 36, 11340, 52920, -43330
2868, -733, 668, 77, 33880, 47390, -17080
2888, -776, 552, 49, 55300, 63210, -38710
2908, -906, 626, -76, 68740, 78890, -66220
2928, -863, 588, 67, 61600, 90790, -33530
2948, -695, 584, 56, 90090, 129430, -65170
2968, -753, 359, -149, 134330, 151270, -122850
2988, -992, 314, -285, 128800, 143780, -56910
3008, -1040, 446, -430, 93870, 116200, 28700
3028, -861, 289, -381, 76160, 90020, 36330
3048, -835, 317, -437, 105350, 91350, -51380
3068, -904, 237, -435, 113820, 77350, -91280
3088, -895, 182, -452, 123620, 79590, -118230
3108, -791, -35, -428, 120330, 74690, -157080
3128, -761, -121, -494, 95270, 64470, -173950
3148, -716, -51, -519, 94500, 65730, -195510
3168, -472, 54, -405, 85820, 61110, -208600
3188, -644, -107, -411, 102690, 118090, -202790
3208, -699, -259, -979, 121170, 221340, -153300
3228, -538, -202, -1062, 151830, 309960, -86030
3248, -525, -312, -1071, 159180, 591990, 18270
3268, 437, -52, -764, 69790, 1000650, 59850
3288, -167, -472, -948, 240590, 369250, 69720
3308, -95, 102, -923, 106260, -22260, 15820
3328, -179, -54, -548, 20160, -22260, -127330
3348, -171, 99, -255, 170730, -42630, -143500
3368, -389, -675, -790, 268450, -109760, -66500
3388, -434, -420, -1084, 80570, -171920, -3430
3408, -485, -199, -998, 30730, -168770, -43610
3428, -461, -358, -941, 68670, -112770, -5600
3448, -537, -671, -615, 172060, -41370, 50330
3468, -320, -693, -795, 230090, 41090, 137550
3488, -343, -715, -739, 178290, -51730, 196490
3508, -428, -692, -454, 127540, -26250, 202300
3528, -378, -584, -298, 59010, 7280, 176680
3548, -450, -852, -339, -42070, -32200, 99400
3568, -440, -1003, -482, -67550, -99540, 9170
3588, -590, -857, -539, -17500, -163380, -30100
3608, -439, 45, -868, 93450, -169890, -67130
3628, -444, -756, -850, 143920, -185080, -176400
3648, -584, -1146, -505, 69720, -189560, -165270
3668, -611, -879, -458, 47880, -85610, -78820
3688, -629, -810, -233, 39760, -45080, -4620
3708, -617, -1078, -199, -59920, 6440, -28700
3728, -622, -1117, -436, -75040, -17500, -101080
3748, -117, -539, -401, -28560, -39060, -150570
3768, -535, -1032, -155, 21840, 46760, -103180
3788, -408, -763, -330, 34930, 152040, 12250
3808, -320, -961, -726, 21910, 3010, 82740
3828, -502, -496, -173, 30380, 49560, 59010
3848, -330, -712, -275, -51170, 30590, 29540
3868, -392, -739, -215, -77560, 53900, 12530
3888, -279, -604, -195, 9100, 49420, 29960
3908, -267, -606, -452, 38150, 16940, 20720
3928, -458, -1010, -457, 169610, -40460, 78120
3948, -457, -1240, -856, 201950, -56700, 134050
3968, -473, -1650, -1192, 158620, 97790, 10360
3988, -759, -818, -785, 149730, 546140, 18900
4008, -140, -401, -528, 175910, 754880, -99750
4028, -654, -754, -303, 65870, 730030, 213570
4048, -660, -1014, -414, -32340, 631680, 433930
4068, -815, -1123, 9, 206220, 383950, 323400
4088, 29, -436, -831, 101570, 138950, 274540
4108, 87, -971, -920, 70420, -146090, 197050
4128, -125, -1045, -914, 27300, 17710, 100030
4148, -412, -702, -282, 23380, 161420, 201530
4168, -576, -945, -208, -33880, 103810, 109620
4188, -389, -784, -269, -229040, -16450, -107380
4208, -430, -924, -339, -308280, -151690, -181510
