T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
16022, 186, 233, 931, -36750, 19320, -140
16042, 192, 250, 980, -30240, 18620, -1610
16062, 193, 243, 957, -27650, 18830, -1750
16082, 155, 218, 959, -31710, 22680, -2730
16102, 140, 210, 986, -31080, 22750, -3360
16122, 145, 221, 1027, -26600, 17570, -3990
16142, 169, 244, 1057, -24920, 13510, -5670
16162, 172, 217, 1026, -28280, 14000, -8470
16182, 164, 185, 981, -35070, 20510, -11060
16202, 133, 156, 984, -36470, 20510, -10570
16222, 110, 145, 999, -31570, 17430, -8190
16242, 109, 148, 1026, -23870, 10220, -6090
16262, 128, 169, 1033, -17360, 6090, -6090
16282, 133, 176, 1039, -13720, 3290, -6370
16302, 128, 157, 1009, -15190, 7070, -8470
16322, 122, 148, 1001, -17010, 10990, -9240
16342, 116, 155, 1029, -14070, 6230, -7070
16362, 106, 156, 1046, -12530, 140, -5250
16382, 119, 144, 1024, -16170, -3570, -5460
16402, 143, 119, 963, -23940, -1890, -8680
16422, 132, 90, 932, -30450, 2450, -12040
16442, 112, 83, 953, -27650, 3710, -10360
16462, 109, 98, 983, -17780, -1050, -5600
16482, 129, 115, 1002, -9100, -7070, -3570
16502, 120, 118, 1005, -5040, -10010, -3360
16522, 123, 111, 995, -3150, -14770, -1190
16542, 100, 104, 989, -4200, -9170, -1890
16562, 140, 120, 980, -3850, -2450, -3570
16582, 144, 134, 1018, -770, -8960, -1890
16602, 167, 150, 1020, 3500, -16310, -840
16622, 169, 143, 1013, 2450, -12180, -1400
16642, 166, 125, 966, -630, -5950, -1330
16662, 155, 110, 950, -4060, 1680, -1750
16682, 144, 103, 964, -3710, 910, -140
16702, 156, 113, 988, -70, -1470, 2310
16722, 157, 105, 986, 3360, -3500, 3990
16742, 151, 93, 974, 2870, -3920, 4690
16762, 153, 95, 978, 630, -2590, 4410
16782, 150, 93, 979, 560, -1260, 3780
16802, 141, 89, 982, 1540, -2240, 3360
16822, 151, 112, 1018, 5110, -5810, 2870
16842, 155, 117, 1006, 5040, -4830, 1190
16862, 157, 128, 1022, 1470, -1820, -840
16882, 171, 122, 975, -3010, 4970, -3990
16902, 162, 115, 976, -3500, 4830, -3220
16922, 155, 111, 972, -980, 1400, -840
16942, 150, 117, 999, 1960, 490, 280
16962, 151, 122, 1017, 2450, -2520, 1120
16982, 153, 119, 999, 630, -2520, 1400
17002, 161, 113, 984, -1750, 630, 630
17022, 155, 113, 993, -1610, 210, 840
17042, 151, 108, 1003, -1050, -1890, 1680
17062, 151, 102, 1001, -2310, -1960, 1470
17082, 138, 100, 1016, -2870, -3780, 1610
17102, 157, 100, 992, -4130, -3080, 280
17122, 149, 88, 985, -6440, 1400, -2100
17142, 144, 94, 1008, -3710, 70, -1680
17162, 154, 110, 1032, -630, -3500, -1890
17182, 157, 101, 1005, -2170, -2660, -3990
17202, 167, 95, 979, -4690, -1120, -5460
17222, 171, 96, 961, -4060, 2030, -6790
17242, 148, 94, 969, -1960, 6650, -7770
17262, 133, 99, 983, 2240, 4900, -6720
17282, 154, 109, 964, 3780, 3430, -8400
17302, 146, 95, 938, 4410, 4970, -10500
17322, 134, 81, 908, 6790, 10290, -12180
17342, 126, 77, 931, 14210, 14000, -12530
17362, 135, 123, 980, 25760, 8330, -9170
17382, 156, 160, 1029, 35560, 490, -6230
17402, 137, 162, 1049, 35490, 4690, -5600
17422, 78, 137, 997, 31150, 5320, -6790
17442, 51, 101, 974, 27440, -420, -11970
17462, 107, 200, 964, 20720, -6440, -30940
17482, 171, 246, 1012, 28980, -5390, -36470
17502, 208, 314, 1051, 33180, -5320, -27090
17522, 153, 275, 988, 24010, 630, -18690
17542, 53, 196, 924, 8330, 3850, -8610
